symbol,name,cryptocurrency,currency,summary,exchange,market
ADK-ETH,AidosKuneen ETH,ADK,ETH,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADK-EUR,AidosKuneen EUR,ADK,EUR,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADK-GBP,AidosKuneen GBP,ADK,GBP,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADK-INR,AidosKuneen INR,ADK,INR,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADK-JPY,AidosKuneen JPY,ADK,JPY,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADK-KRW,AidosKuneen KRW,ADK,KRW,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADK-RUB,AidosKuneen RUB,ADK,RUB,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADK-USD,AidosKuneen USD,ADK,USD,"Aidos Kuneen (ADK) is a cryptocurrency . Aidos Kuneen has a current supply of 25,000,000. The last known price of Aidos Kuneen is 0.7621446 USD and is down -1.80 over the last 24 hours. It is currently trading on 21 active market(s) with $1,193,854.91 traded over the last 24 hours. More information can be found at http://aidoskuneen.com/.",CCC,ccc_market
ADX-INR,AdEx INR,ADX,INR,"AdEx Network (ADX) is a cryptocurrency and operates on the Ethereum platform. AdEx Network has a current supply of 125,604,061.84973384 with 118,461,585.50973384 in circulation. The last known price of AdEx Network is 1.24170527 USD and is down -3.80 over the last 24 hours. It is currently trading on 20 active market(s) with $5,311,732.29 traded over the last 24 hours. More information can be found at https://www.adex.network/.",CCC,ccc_market
ADX-USD,AdEx USD,ADX,USD,"AdEx Network (ADX) is a cryptocurrency and operates on the Ethereum platform. AdEx Network has a current supply of 125,604,061.84973384 with 118,461,585.50973384 in circulation. The last known price of AdEx Network is 1.24170527 USD and is down -3.80 over the last 24 hours. It is currently trading on 20 active market(s) with $5,311,732.29 traded over the last 24 hours. More information can be found at https://www.adex.network/.",CCC,ccc_market
AE-CAD,Aeternity CAD,AE,CAD,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-CNY,Aeternity CNY,AE,CNY,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-ETH,Aeternity ETH,AE,ETH,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-EUR,Aeternity EUR,AE,EUR,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-GBP,Aeternity GBP,AE,GBP,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 382,197,794.49932 with 336,376,850.5 in circulation. The last known price of Aeternity is 0.40845204 USD and is down -4.45 over the last 24 hours. It is currently trading on 41 active market(s) with $29,382,919.25 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-INR,Aeternity INR,AE,INR,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-JPY,Aeternity JPY,AE,JPY,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-KRW,Aeternity KRW,AE,KRW,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-RUB,Aeternity RUB,AE,RUB,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
AE-USD,Aeternity USD,AE,USD,"Aeternity (AE) is a cryptocurrency . Users are able to generate AE through the process of mining. Aeternity has a current supply of 381,930,873.49932 with 336,109,929.5 in circulation. The last known price of Aeternity is 0.3853108 USD and is up 0.41 over the last 24 hours. It is currently trading on 41 active market(s) with $28,270,052.62 traded over the last 24 hours. More information can be found at https://www.aeternity.com/.",CCC,ccc_market
